"Date","Holiday.Name","Day"
1986-10-27,"Labour Day","Monday"
1986-12-25,"Christmas Day","Thursday"
1986-12-26,"Boxing Day","Friday"
1987-01-01,"New Years Day","Thursday"
1987-01-02,"Day after New Years Day","Friday"
1987-02-06,"Waitangi Day","Friday"
1987-04-17,"Good Friday","Friday"
1987-04-20,"Easter Monday","Monday"
1987-04-25,"Anzac Day","Saturday"
1987-06-01,"Queens Birthday","Monday"
1987-10-26,"Labour Day","Monday"
1987-12-25,"Christmas Day","Friday"
1987-12-26,"Boxing Day","Saturday"
1987-12-28,"Boxing Day (observed)","Monday"
1988-01-01,"New Years Day","Friday"
1988-01-02,"Day after New Years Day","Saturday"
1988-01-04,"Day after New Years Day (observed)","Monday"
1988-02-06,"Waitangi Day","Saturday"
1988-04-01,"Good Friday","Friday"
1988-04-04,"Easter Monday","Monday"
1988-04-25,"Anzac Day","Monday"
1988-06-06,"Queens Birthday","Monday"
1988-10-24,"Labour Day","Monday"
1988-12-25,"Christmas Day","Sunday"
1988-12-26,"Boxing Day","Monday"
1988-12-27,"Christmas Day (observed)","Tuesday"
1989-01-01,"New Years Day","Sunday"
1989-01-02,"Day after New Years Day","Monday"
1989-01-03,"New Years Day (observed)","Tuesday"
1989-02-06,"Waitangi Day","Monday"
1989-03-24,"Good Friday","Friday"
1989-03-27,"Easter Monday","Monday"
1989-04-25,"Anzac Day","Tuesday"
1989-06-05,"Queens Birthday","Monday"
1989-10-23,"Labour Day","Monday"
1989-12-25,"Christmas Day","Monday"
1989-12-26,"Boxing Day","Tuesday"
1990-01-01,"New Years Day","Monday"
1990-01-02,"Day after New Years Day","Tuesday"
1990-02-06,"Waitangi Day","Tuesday"
1990-04-13,"Good Friday","Friday"
1990-04-16,"Easter Monday","Monday"
1990-04-25,"Anzac Day","Wednesday"
1990-06-04,"Queens Birthday","Monday"
1990-10-22,"Labour Day","Monday"
1990-12-25,"Christmas Day","Tuesday"
1990-12-26,"Boxing Day","Wednesday"
1991-01-01,"New Years Day","Tuesday"
1991-01-02,"Day after New Years Day","Wednesday"
1991-02-06,"Waitangi Day","Wednesday"
1991-03-29,"Good Friday","Friday"
1991-04-01,"Easter Monday","Monday"
1991-04-25,"Anzac Day","Thursday"
1991-06-03,"Queens Birthday","Monday"
1991-10-28,"Labour Day","Monday"
1991-12-25,"Christmas Day","Wednesday"
1991-12-26,"Boxing Day","Thursday"
1992-01-01,"New Years Day","Wednesday"
1992-01-02,"Day after New Years Day","Thursday"
1992-02-06,"Waitangi Day","Thursday"
1992-04-17,"Good Friday","Friday"
1992-04-20,"Easter Monday","Monday"
1992-04-25,"Anzac Day","Saturday"
1992-06-01,"Queens Birthday","Monday"
1992-10-26,"Labour Day","Monday"
1992-12-25,"Christmas Day","Friday"
1992-12-26,"Boxing Day","Saturday"
1992-12-28,"Boxing Day (observed)","Monday"
1993-01-01,"New Years Day","Friday"
1993-01-02,"Day after New Years Day","Saturday"
1993-01-04,"Day after New Years Day (observed)","Monday"
1993-02-06,"Waitangi Day","Saturday"
1993-04-09,"Good Friday","Friday"
1993-04-12,"Easter Monday","Monday"
1993-04-25,"Anzac Day","Sunday"
1993-06-07,"Queens Birthday","Monday"
1993-10-25,"Labour Day","Monday"
1993-12-25,"Christmas Day","Saturday"
1993-12-26,"Boxing Day","Sunday"
1993-12-27,"Christmas Day (observed)","Monday"
1993-12-28,"Boxing Day (observed)","Tuesday"
1994-01-01,"New Years Day","Saturday"
1994-01-02,"Day after New Years Day","Sunday"
1994-01-03,"New Years Day (observed)","Monday"
1994-01-04,"Day after New Years Day (observed)","Tuesday"
1994-02-06,"Waitangi Day","Sunday"
1994-04-01,"Good Friday","Friday"
1994-04-04,"Easter Monday","Monday"
1994-04-25,"Anzac Day","Monday"
1994-06-06,"Queens Birthday","Monday"
1994-10-24,"Labour Day","Monday"
1994-12-25,"Christmas Day","Sunday"
1994-12-26,"Boxing Day","Monday"
1994-12-27,"Christmas Day (observed)","Tuesday"
1995-01-01,"New Years Day","Sunday"
1995-01-02,"Day after New Years Day","Monday"
1995-01-03,"New Years Day (observed)","Tuesday"
1995-02-06,"Waitangi Day","Monday"
1995-04-14,"Good Friday","Friday"
1995-04-17,"Easter Monday","Monday"
1995-04-25,"Anzac Day","Tuesday"
1995-06-05,"Queens Birthday","Monday"
1995-10-23,"Labour Day","Monday"
1995-12-25,"Christmas Day","Monday"
1995-12-26,"Boxing Day","Tuesday"
1996-01-01,"New Years Day","Monday"
1996-01-02,"Day after New Years Day","Tuesday"
1996-02-06,"Waitangi Day","Tuesday"
1996-04-05,"Good Friday","Friday"
1996-04-08,"Easter Monday","Monday"
1996-04-25,"Anzac Day","Thursday"
1996-06-03,"Queens Birthday","Monday"
1996-10-28,"Labour Day","Monday"
1996-12-25,"Christmas Day","Wednesday"
1996-12-26,"Boxing Day","Thursday"
1997-01-01,"New Years Day","Wednesday"
1997-01-02,"Day after New Years Day","Thursday"
1997-02-06,"Waitangi Day","Thursday"
1997-03-28,"Good Friday","Friday"
1997-03-31,"Easter Monday","Monday"
1997-04-25,"Anzac Day","Friday"
1997-06-02,"Queens Birthday","Monday"
1997-10-27,"Labour Day","Monday"
1997-12-25,"Christmas Day","Thursday"
1997-12-26,"Boxing Day","Friday"
1998-01-01,"New Years Day","Thursday"
1998-01-02,"Day after New Years Day","Friday"
1998-02-06,"Waitangi Day","Friday"
1998-04-10,"Good Friday","Friday"
1998-04-13,"Easter Monday","Monday"
1998-04-25,"Anzac Day","Saturday"
1998-06-01,"Queens Birthday","Monday"
1998-10-26,"Labour Day","Monday"
1998-12-25,"Christmas Day","Friday"
1998-12-26,"Boxing Day","Saturday"
1998-12-28,"Boxing Day (observed)","Monday"
1999-01-01,"New Years Day","Friday"
1999-01-02,"Day after New Years Day","Saturday"
1999-01-04,"Day after New Years Day (observed)","Monday"
1999-02-06,"Waitangi Day","Saturday"
1999-04-02,"Good Friday","Friday"
1999-04-05,"Easter Monday","Monday"
1999-04-25,"Anzac Day","Sunday"
1999-06-07,"Queens Birthday","Monday"
1999-10-25,"Labour Day","Monday"
1999-12-25,"Christmas Day","Saturday"
1999-12-26,"Boxing Day","Sunday"
1999-12-27,"Christmas Day (observed)","Monday"
1999-12-28,"Boxing Day (observed)","Tuesday"
2000-01-01,"New Years Day","Saturday"
2000-01-02,"Day after New Years Day","Sunday"
2000-01-03,"New Years Day (observed)","Monday"
2000-01-04,"Day after New Years Day (observed)","Tuesday"
2000-02-06,"Waitangi Day","Sunday"
2000-04-21,"Good Friday","Friday"
2000-04-24,"Easter Monday","Monday"
2000-04-25,"Anzac Day","Tuesday"
2000-06-05,"Queens Birthday","Monday"
2000-10-23,"Labour Day","Monday"
2000-12-25,"Christmas Day","Monday"
2000-12-26,"Boxing Day","Tuesday"
2001-01-01,"New Years Day","Monday"
2001-01-02,"Day after New Years Day","Tuesday"
2001-02-06,"Waitangi Day","Tuesday"
2001-04-13,"Good Friday","Friday"
2001-04-16,"Easter Monday","Monday"
2001-04-25,"Anzac Day","Wednesday"
2001-06-04,"Queens Birthday","Monday"
2001-10-22,"Labour Day","Monday"
2001-12-25,"Christmas Day","Tuesday"
2001-12-26,"Boxing Day","Wednesday"
2002-01-01,"New Years Day","Tuesday"
2002-01-02,"Day after New Years Day","Wednesday"
2002-02-06,"Waitangi Day","Wednesday"
2002-03-29,"Good Friday","Friday"
2002-04-01,"Easter Monday","Monday"
2002-04-25,"Anzac Day","Thursday"
2002-06-03,"Queens Birthday","Monday"
2002-10-28,"Labour Day","Monday"
2002-12-25,"Christmas Day","Wednesday"
2002-12-26,"Boxing Day","Thursday"
2003-01-01,"New Years Day","Wednesday"
2003-01-02,"Day after New Years Day","Thursday"
2003-02-06,"Waitangi Day","Thursday"
2003-04-18,"Good Friday","Friday"
2003-04-21,"Easter Monday","Monday"
2003-04-25,"Anzac Day","Friday"
2003-06-02,"Queens Birthday","Monday"
2003-10-27,"Labour Day","Monday"
2003-12-25,"Christmas Day","Thursday"
2003-12-26,"Boxing Day","Friday"
2004-01-01,"New Years Day","Thursday"
2004-01-02,"Day after New Years Day","Friday"
2004-02-06,"Waitangi Day","Friday"
2004-04-09,"Good Friday","Friday"
2004-04-12,"Easter Monday","Monday"
2004-04-25,"Anzac Day","Sunday"
2004-06-07,"Queens Birthday","Monday"
2004-10-25,"Labour Day","Monday"
2004-12-25,"Christmas Day","Saturday"
2004-12-26,"Boxing Day","Sunday"
2004-12-27,"Christmas Day (observed)","Monday"
2004-12-28,"Boxing Day (observed)","Tuesday"
2005-01-01,"New Years Day","Saturday"
2005-01-02,"Day after New Years Day","Sunday"
2005-01-03,"New Years Day (observed)","Monday"
2005-01-04,"Day after New Years Day (observed)","Tuesday"
2005-02-06,"Waitangi Day","Sunday"
2005-03-25,"Good Friday","Friday"
2005-03-28,"Easter Monday","Monday"
2005-04-25,"Anzac Day","Monday"
2005-06-06,"Queens Birthday","Monday"
2005-10-24,"Labour Day","Monday"
2005-12-25,"Christmas Day","Sunday"
2005-12-26,"Boxing Day","Monday"
2005-12-27,"Christmas Day (observed)","Tuesday"
2006-01-01,"New Years Day","Sunday"
2006-01-02,"Day after New Years Day","Monday"
2006-01-03,"New Years Day (observed)","Tuesday"
2006-02-06,"Waitangi Day","Monday"
2006-04-14,"Good Friday","Friday"
2006-04-17,"Easter Monday","Monday"
2006-04-25,"Anzac Day","Tuesday"
2006-06-05,"Queens Birthday","Monday"
2006-10-23,"Labour Day","Monday"
2006-12-25,"Christmas Day","Monday"
2006-12-26,"Boxing Day","Tuesday"
2007-01-01,"New Years Day","Monday"
2007-01-02,"Day after New Years Day","Tuesday"
2007-02-06,"Waitangi Day","Tuesday"
2007-04-06,"Good Friday","Friday"
2007-04-09,"Easter Monday","Monday"
2007-04-25,"Anzac Day","Wednesday"
2007-06-04,"Queens Birthday","Monday"
2007-10-22,"Labour Day","Monday"
2007-12-25,"Christmas Day","Tuesday"
2007-12-26,"Boxing Day","Wednesday"
2008-01-01,"New Years Day","Tuesday"
2008-01-02,"Day after New Years Day","Wednesday"
2008-02-06,"Waitangi Day","Wednesday"
2008-03-21,"Good Friday","Friday"
2008-03-24,"Easter Monday","Monday"
2008-04-25,"Anzac Day","Friday"
2008-06-02,"Queens Birthday","Monday"
2008-10-27,"Labour Day","Monday"
2008-12-25,"Christmas Day","Thursday"
2008-12-26,"Boxing Day","Friday"
2009-01-01,"New Years Day","Thursday"
2009-01-02,"Day after New Years Day","Friday"
2009-02-06,"Waitangi Day","Friday"
2009-04-10,"Good Friday","Friday"
2009-04-13,"Easter Monday","Monday"
2009-04-25,"Anzac Day","Saturday"
2009-06-01,"Queens Birthday","Monday"
2009-10-26,"Labour Day","Monday"
2009-12-25,"Christmas Day","Friday"
2009-12-26,"Boxing Day","Saturday"
2009-12-28,"Boxing Day (observed)","Monday"
2010-01-01,"New Years Day","Friday"
2010-01-02,"Day after New Years Day","Saturday"
2010-01-04,"Day after New Years Day (observed)","Monday"
2010-02-06,"Waitangi Day","Saturday"
2010-04-02,"Good Friday","Friday"
2010-04-05,"Easter Monday","Monday"
2010-04-25,"Anzac Day","Sunday"
2010-06-07,"Queens Birthday","Monday"
2010-10-25,"Labour Day","Monday"
2010-12-25,"Christmas Day","Saturday"
2010-12-26,"Boxing Day","Sunday"
2010-12-27,"Christmas Day (observed)","Monday"
2010-12-28,"Boxing Day (observed)","Tuesday"
2011-01-01,"New Years Day","Saturday"
2011-01-02,"Day after New Years Day","Sunday"
2011-01-03,"New Years Day (observed)","Monday"
2011-01-04,"Day after New Years Day (observed)","Tuesday"
2011-02-06,"Waitangi Day","Sunday"
2011-04-22,"Good Friday","Friday"
2011-04-25,"Anzac Day; Easter Monday","Monday"
2011-06-06,"Queens Birthday","Monday"
2011-10-24,"Labour Day","Monday"
2011-12-25,"Christmas Day","Sunday"
2011-12-26,"Boxing Day","Monday"
2011-12-27,"Christmas Day (observed)","Tuesday"
2012-01-01,"New Years Day","Sunday"
2012-01-02,"Day after New Years Day","Monday"
2012-01-03,"New Years Day (observed)","Tuesday"
2012-02-06,"Waitangi Day","Monday"
2012-04-06,"Good Friday","Friday"
2012-04-09,"Easter Monday","Monday"
2012-04-25,"Anzac Day","Wednesday"
2012-06-04,"Queens Birthday","Monday"
2012-10-22,"Labour Day","Monday"
2012-12-25,"Christmas Day","Tuesday"
2012-12-26,"Boxing Day","Wednesday"
2013-01-01,"New Years Day","Tuesday"
2013-01-02,"Day after New Years Day","Wednesday"
2013-02-06,"Waitangi Day","Wednesday"
2013-03-29,"Good Friday","Friday"
2013-04-01,"Easter Monday","Monday"
2013-04-25,"Anzac Day","Thursday"
2013-06-03,"Queens Birthday","Monday"
2013-10-28,"Labour Day","Monday"
2013-12-25,"Christmas Day","Wednesday"
2013-12-26,"Boxing Day","Thursday"
2014-01-01,"New Years Day","Wednesday"
2014-01-02,"Day after New Years Day","Thursday"
2014-02-06,"Waitangi Day","Thursday"
2014-04-18,"Good Friday","Friday"
2014-04-21,"Easter Monday","Monday"
2014-04-25,"Anzac Day","Friday"
2014-06-02,"Queens Birthday","Monday"
2014-10-27,"Labour Day","Monday"
2014-12-25,"Christmas Day","Thursday"
2014-12-26,"Boxing Day","Friday"
2015-01-01,"New Years Day","Thursday"
2015-01-02,"Day after New Years Day","Friday"
2015-02-06,"Waitangi Day","Friday"
2015-04-03,"Good Friday","Friday"
2015-04-06,"Easter Monday","Monday"
2015-04-25,"Anzac Day","Saturday"
2015-04-27,"Anzac Day (observed)","Monday"
2015-06-01,"Queens Birthday","Monday"
2015-10-26,"Labour Day","Monday"
2015-12-25,"Christmas Day","Friday"
2015-12-26,"Boxing Day","Saturday"
2015-12-28,"Boxing Day (observed)","Monday"
2016-01-01,"New Years Day","Friday"
2016-01-02,"Day after New Years Day","Saturday"
2016-01-04,"Day after New Years Day (observed)","Monday"
2016-02-06,"Waitangi Day","Saturday"
2016-02-08,"Waitangi Day (observed)","Monday"
2016-03-25,"Good Friday","Friday"
2016-03-28,"Easter Monday","Monday"
2016-04-25,"Anzac Day","Monday"
2016-06-06,"Queens Birthday","Monday"
2016-10-24,"Labour Day","Monday"
2016-12-25,"Christmas Day","Sunday"
2016-12-26,"Boxing Day","Monday"
2016-12-27,"Christmas Day (observed)","Tuesday"
2017-01-01,"New Years Day","Sunday"
2017-01-02,"Day after New Years Day","Monday"
2017-01-03,"New Years Day (observed)","Tuesday"
2017-02-06,"Waitangi Day","Monday"
2017-04-14,"Good Friday","Friday"
2017-04-17,"Easter Monday","Monday"
2017-04-25,"Anzac Day","Tuesday"
2017-06-05,"Queens Birthday","Monday"
2017-10-23,"Labour Day","Monday"
2017-12-25,"Christmas Day","Monday"
2017-12-26,"Boxing Day","Tuesday"
2018-01-01,"New Years Day","Monday"
2018-01-02,"Day after New Years Day","Tuesday"
2018-02-06,"Waitangi Day","Tuesday"
2018-03-30,"Good Friday","Friday"
2018-04-02,"Easter Monday","Monday"
2018-04-25,"Anzac Day","Wednesday"
2018-06-04,"Queens Birthday","Monday"
2018-10-22,"Labour Day","Monday"
2018-12-25,"Christmas Day","Tuesday"
2018-12-26,"Boxing Day","Wednesday"
2019-01-01,"New Years Day","Tuesday"
2019-01-02,"Day after New Years Day","Wednesday"
2019-02-06,"Waitangi Day","Wednesday"
2019-04-19,"Good Friday","Friday"
2019-04-22,"Easter Monday","Monday"
2019-04-25,"Anzac Day","Thursday"
2019-06-03,"Queens Birthday","Monday"
2019-10-28,"Labour Day","Monday"
2019-12-25,"Christmas Day","Wednesday"
2019-12-26,"Boxing Day","Thursday"
2020-01-01,"New Years Day","Wednesday"
2020-01-02,"Day after New Years Day","Thursday"
2020-02-06,"Waitangi Day","Thursday"
2020-04-10,"Good Friday","Friday"
2020-04-13,"Easter Monday","Monday"
2020-04-25,"Anzac Day","Saturday"
2020-04-27,"Anzac Day (observed)","Monday"
2020-06-01,"Queens Birthday","Monday"
2020-10-26,"Labour Day","Monday"
2020-12-25,"Christmas Day","Friday"
2020-12-26,"Boxing Day","Saturday"
2020-12-28,"Boxing Day (observed)","Monday"
2021-01-01,"New Years Day","Friday"
2021-01-02,"Day after New Years Day","Saturday"
2021-01-04,"Day after New Years Day (observed)","Monday"
2021-02-06,"Waitangi Day","Saturday"
2021-02-08,"Waitangi Day (observed)","Monday"
2021-04-02,"Good Friday","Friday"
2021-04-05,"Easter Monday","Monday"
2021-04-25,"Anzac Day","Sunday"
2021-04-26,"Anzac Day (observed)","Monday"
2021-06-07,"Queens Birthday","Monday"
2021-10-25,"Labour Day","Monday"
2021-12-25,"Christmas Day","Saturday"
2021-12-26,"Boxing Day","Sunday"
2021-12-27,"Christmas Day (observed)","Monday"
2021-12-28,"Boxing Day (observed)","Tuesday"
2022-01-01,"New Years Day","Saturday"
2022-01-02,"Day after New Years Day","Sunday"
2022-01-03,"New Years Day (observed)","Monday"
2022-01-04,"Day after New Years Day (observed)","Tuesday"
2022-02-06,"Waitangi Day","Sunday"
2022-02-07,"Waitangi Day (observed)","Monday"
2022-04-15,"Good Friday","Friday"
2022-04-18,"Easter Monday","Monday"
2022-04-25,"Anzac Day","Monday"
2022-06-06,"Queens Birthday","Monday"
2022-06-24,"Matariki","Friday"
2022-09-26,"Queen Elizabeth II Memorial Day","Monday"
2022-10-24,"Labour Day","Monday"
2022-12-25,"Christmas Day","Sunday"
2022-12-26,"Boxing Day","Monday"
2022-12-27,"Christmas Day (observed)","Tuesday"
2023-01-01,"New Years Day","Sunday"
2023-01-02,"Day after New Years Day","Monday"
2023-01-03,"New Years Day (observed)","Tuesday"
2023-02-06,"Waitangi Day","Monday"
2023-04-07,"Good Friday","Friday"
2023-04-10,"Easter Monday","Monday"
2023-04-25,"Anzac Day","Tuesday"
2023-06-05,"Kings Birthday","Monday"
2023-07-14,"Matariki","Friday"
2023-10-23,"Labour Day","Monday"
2023-12-25,"Christmas Day","Monday"
2023-12-26,"Boxing Day","Tuesday"
2024-01-01,"New Years Day","Monday"
2024-01-02,"Day after New Years Day","Tuesday"
2024-02-06,"Waitangi Day","Tuesday"
2024-03-29,"Good Friday","Friday"
2024-04-01,"Easter Monday","Monday"
2024-04-25,"Anzac Day","Thursday"
2024-06-03,"Kings Birthday","Monday"
2024-06-28,"Matariki","Friday"
2024-10-28,"Labour Day","Monday"
2024-12-25,"Christmas Day","Wednesday"
2024-12-26,"Boxing Day","Thursday"
2025-01-01,"New Years Day","Wednesday"
2025-01-02,"Day after New Years Day","Thursday"
2025-02-06,"Waitangi Day","Thursday"
2025-04-18,"Good Friday","Friday"
2025-04-21,"Easter Monday","Monday"
2025-04-25,"Anzac Day","Friday"
2025-06-02,"Kings Birthday","Monday"
2025-06-20,"Matariki","Friday"
2025-10-27,"Labour Day","Monday"
2025-12-25,"Christmas Day","Thursday"
2025-12-26,"Boxing Day","Friday"
2026-01-01,"New Years Day","Thursday"
2026-01-02,"Day after New Years Day","Friday"
2026-02-06,"Waitangi Day","Friday"
2026-04-03,"Good Friday","Friday"
2026-04-06,"Easter Monday","Monday"
2026-04-25,"Anzac Day","Saturday"
2026-04-27,"Anzac Day (observed)","Monday"
2026-06-01,"Kings Birthday","Monday"
2026-07-10,"Matariki","Friday"
2026-10-26,"Labour Day","Monday"
2026-12-25,"Christmas Day","Friday"
2026-12-26,"Boxing Day","Saturday"
2026-12-28,"Boxing Day (observed)","Monday"
